label_id	cell_label	is_corr
3.0	None	False
4.0	None	False
6.0	None	False
8.0	None	False
9.0	None	False
11.0	None	False
14.0	None	False
15.0	None	False
16.0	None	False
19.0	None	False
24.0	None	False
31.0	None	False
36.0	epithelial	False
37.0	epithelial	False
40.0	None	False
41.0	epithelial	False
42.0	epithelial	False
46.0	epithelial	False
47.0	epithelial	False
48.0	epithelial	False
50.0	epithelial	False
53.0	epithelial	False
54.0	epithelial	False
55.0	epithelial	False
56.0	epithelial	False
57.0	None	False
58.0	None	False
59.0	None	False
63.0	None	False
65.0	None	False
68.0	None	False
69.0	None	False
77.0	None	False
78.0	None	False
80.0	None	True
83.0	None	False
84.0	None	False
85.0	None	False
87.0	None	False
144.0	None	False
145.0	neuron	False
149.0	epithelial	False
150.0	epithelial	False
153.0	None	False
154.0	None	False
157.0	None	False
158.0	epithelial	False
160.0	epithelial	False
163.0	epithelial	False
166.0	None	False
168.0	neuron	False
169.0	epithelial	False
171.0	None	False
173.0	neuron	False
174.0	epithelial	False
177.0	None	False
178.0	None	False
180.0	epithelial	False
182.0	neuron	False
183.0	neuron	False
185.0	None	False
186.0	None	False
187.0	None	False
189.0	None	False
190.0	None	False
194.0	None	False
196.0	None	False
200.0	dark	False
202.0	None	False
204.0	None	False
205.0	None	False
207.0	None	False
208.0	None	False
214.0	None	False
216.0	epithelial	False
218.0	None	False
221.0	None	False
222.0	None	False
223.0	None	False
225.0	None	False
226.0	None	False
227.0	None	False
229.0	epithelial	False
230.0	None	False
231.0	None	False
232.0	None	False
233.0	None	True
234.0	None	False
235.0	None	False
238.0	None	False
240.0	None	False
242.0	None	False
243.0	None	False
246.0	None	False
248.0	None	False
249.0	None	False
251.0	None	False
253.0	None	False
255.0	None	False
256.0	None	False
257.0	None	False
258.0	None	False
261.0	None	False
267.0	None	False
268.0	None	False
269.0	None	False
270.0	None	False
271.0	None	False
272.0	None	False
276.0	None	False
277.0	None	False
278.0	None	False
279.0	None	False
280.0	None	False
283.0	None	False
289.0	None	False
290.0	None	False
291.0	None	False
293.0	None	False
294.0	None	False
295.0	None	False
296.0	None	False
298.0	None	False
300.0	None	False
309.0	None	False
310.0	None	False
311.0	None	False
313.0	None	False
314.0	None	False
317.0	None	False
318.0	neuron	False
319.0	epithelial	False
320.0	epithelial	False
321.0	neuron	False
322.0	neuron	False
326.0	epithelial	False
328.0	epithelial	False
337.0	neuron	False
338.0	None	False
339.0	epithelial	False
343.0	None	True
345.0	None	False
346.0	None	False
347.0	None	False
348.0	None	False
349.0	None	False
351.0	None	False
353.0	None	False
354.0	None	True
355.0	None	False
356.0	None	False
358.0	None	False
359.0	None	False
360.0	None	False
361.0	None	False
362.0	None	False
364.0	None	False
365.0	None	False
367.0	None	False
372.0	None	False
374.0	None	False
375.0	None	False
377.0	None	False
378.0	epithelial	False
381.0	epithelial	False
386.0	None	False
387.0	None	False
389.0	neuron	False
390.0	neuron	False
391.0	neuron	False
392.0	neuron	False
396.0	None	False
398.0	None	False
399.0	None	False
400.0	None	False
401.0	None	False
403.0	None	False
404.0	None	False
405.0	None	False
406.0	None	False
410.0	neuron	False
416.0	neuron	False
417.0	neuron	False
420.0	None	False
421.0	epithelial	False
423.0	epithelial	False
426.0	None	True
427.0	dark	False
428.0	neuron	False
429.0	None	False
434.0	None	False
436.0	None	False
441.0	None	False
443.0	None	False
444.0	None	False
445.0	None	False
446.0	None	False
447.0	None	False
448.0	epithelial	False
449.0	None	False
459.0	None	False
464.0	None	True
465.0	None	False
466.0	None	False
467.0	None	False
468.0	None	False
472.0	None	True
475.0	None	False
480.0	None	False
482.0	None	False
485.0	None	False
486.0	None	False
489.0	None	True
490.0	None	False
491.0	None	False
492.0	None	False
495.0	None	False
497.0	None	False
500.0	None	False
502.0	None	False
507.0	None	True
510.0	None	False
513.0	None	False
514.0	None	True
515.0	None	False
517.0	None	False
518.0	None	False
521.0	None	True
523.0	None	False
526.0	None	False
527.0	None	True
530.0	None	False
531.0	None	False
532.0	None	False
534.0	dark	False
