label_id	distances	side	side2	absolute
24875	13.7194233241608	TRUE	FALSE	13.7194233241608
24876	8.18749235013413	TRUE	FALSE	8.18749235013413
24877	9.63543916655492	TRUE	FALSE	9.63543916655492
24878	9.50854478581308	TRUE	FALSE	9.50854478581308
24879	2.68754168898503	TRUE	FALSE	2.68754168898503
24880	55.5837429312098	TRUE	FALSE	55.5837429312098
24881	54.8115639247799	TRUE	FALSE	54.8115639247799
24882	56.4802074813769	TRUE	FALSE	56.4802074813769
24883	55.3279002631663	TRUE	FALSE	55.3279002631663
24884	54.6404754187596	TRUE	FALSE	54.6404754187596
24885	52.9638889855715	TRUE	FALSE	52.9638889855715
24886	41.9311866842412	TRUE	FALSE	41.9311866842412
24887	53.8474498805589	TRUE	FALSE	53.8474498805589
24888	32.2518218755682	TRUE	FALSE	32.2518218755682
24889	15.6124810018296	TRUE	FALSE	15.6124810018296
24890	17.8048586528653	TRUE	FALSE	17.8048586528653
24891	52.1029039832362	TRUE	FALSE	52.1029039832362
24892	50.0136032620862	TRUE	FALSE	50.0136032620862
24893	50.9244245190307	TRUE	FALSE	50.9244245190307
24894	48.0196845485585	TRUE	FALSE	48.0196845485585
24895	48.4457034142958	TRUE	FALSE	48.4457034142958
24896	47.8668723519543	TRUE	FALSE	47.8668723519543
24897	44.1221588477148	TRUE	FALSE	44.1221588477148
24898	34.7281513174123	TRUE	FALSE	34.7281513174123
24899	30.0226486222445	TRUE	FALSE	30.0226486222445
24900	47.8633663932461	TRUE	FALSE	47.8633663932461
24901	43.5105606780087	TRUE	FALSE	43.5105606780087
24902	-33.4545305251587	FALSE	TRUE	33.4545305251587
24903	-32.0532387834369	FALSE	TRUE	32.0532387834369
24904	-42.4586520439493	FALSE	TRUE	42.4586520439493
24905	-51.7056128481985	FALSE	TRUE	51.7056128481985
24906	-50.5813603164027	FALSE	TRUE	50.5813603164027
24907	-10.7473716990955	FALSE	TRUE	10.7473716990955
24908	-10.9794913426815	FALSE	TRUE	10.9794913426815
24909	-16.0032083192933	FALSE	TRUE	16.0032083192933
24910	-14.9712157915622	FALSE	TRUE	14.9712157915622
24911	-19.2408089307385	FALSE	TRUE	19.2408089307385
24912	-20.8092838176246	FALSE	TRUE	20.8092838176246
24913	-21.1859279371856	FALSE	TRUE	21.1859279371856
24914	-29.053681528037	FALSE	TRUE	29.053681528037
24915	-32.7477278909356	FALSE	TRUE	32.7477278909356
24916	-32.6476636969979	FALSE	TRUE	32.6476636969979
24917	-37.5739983920579	FALSE	TRUE	37.5739983920579
24918	1.10193331020865	TRUE	FALSE	1.10193331020865
24919	-0.832195154011324	FALSE	TRUE	0.832195154011324
24920	-7.91522200239424	FALSE	TRUE	7.91522200239424
24921	-13.2086597307391	FALSE	TRUE	13.2086597307391
24922	-6.08353813513179	FALSE	TRUE	6.08353813513179
24923	-16.9105722783076	FALSE	TRUE	16.9105722783076
24924	-26.2490085510484	FALSE	TRUE	26.2490085510484
24925	-29.0883074426351	FALSE	TRUE	29.0883074426351
24926	-36.6603851588498	FALSE	TRUE	36.6603851588498
24927	-38.6898237992407	FALSE	TRUE	38.6898237992407
24928	-46.4921793729981	FALSE	TRUE	46.4921793729981
24929	-47.8246554150199	FALSE	TRUE	47.8246554150199
24930	10.1025226530868	TRUE	FALSE	10.1025226530868
24931	6.62054526560719	TRUE	FALSE	6.62054526560719
24932	9.18061338952872	TRUE	FALSE	9.18061338952872
24933	5.92642746457078	TRUE	FALSE	5.92642746457078
24934	7.57115816198771	TRUE	FALSE	7.57115816198771
24935	3.16996314781768	TRUE	FALSE	3.16996314781768
24936	-1.336626592522	FALSE	TRUE	1.336626592522
24937	-31.5164171354854	FALSE	TRUE	31.5164171354854
24938	-39.157642316561	FALSE	TRUE	39.157642316561
24939	-43.642963128671	FALSE	TRUE	43.642963128671
24940	-49.1690818988183	FALSE	TRUE	49.1690818988183
24941	-42.9901831083169	FALSE	TRUE	42.9901831083169
24942	-48.9284528569779	FALSE	TRUE	48.9284528569779
24943	17.6595257124777	TRUE	FALSE	17.6595257124777
24944	20.6980984250921	TRUE	FALSE	20.6980984250921
24945	5.90887016298409	TRUE	FALSE	5.90887016298409
24946	-2.90833529124235	FALSE	TRUE	2.90833529124235
24947	-8.00459827432164	FALSE	TRUE	8.00459827432164
24948	-6.62626395128213	FALSE	TRUE	6.62626395128213
24949	-12.8188791093303	FALSE	TRUE	12.8188791093303
24950	-12.3980311656412	FALSE	TRUE	12.3980311656412
24951	-25.5538345107873	FALSE	TRUE	25.5538345107873
24952	-28.3019526425307	FALSE	TRUE	28.3019526425307
24953	-30.1719402914895	FALSE	TRUE	30.1719402914895
24954	-38.0592182793087	FALSE	TRUE	38.0592182793087
24955	-45.8493638207234	FALSE	TRUE	45.8493638207234
24956	37.190443818442	TRUE	FALSE	37.190443818442
24957	24.1696979726371	TRUE	FALSE	24.1696979726371
24958	17.6830239498751	TRUE	FALSE	17.6830239498751
24959	17.5458919823218	TRUE	FALSE	17.5458919823218
24960	21.1000212128056	TRUE	FALSE	21.1000212128056
24961	18.2140945320907	TRUE	FALSE	18.2140945320907
24962	1.57647800307904	TRUE	FALSE	1.57647800307904
24963	-6.7927429628754	FALSE	TRUE	6.7927429628754
24964	-10.6945653282246	FALSE	TRUE	10.6945653282246
24965	-17.8018901891905	FALSE	TRUE	17.8018901891905
24966	-15.3727132378551	FALSE	TRUE	15.3727132378551
24967	-18.9009971255872	FALSE	TRUE	18.9009971255872
24968	-18.0787934777891	FALSE	TRUE	18.0787934777891
24969	-22.3199465614026	FALSE	TRUE	22.3199465614026
24970	-43.2996221252663	FALSE	TRUE	43.2996221252663
24971	38.4406084034895	TRUE	FALSE	38.4406084034895
24972	39.5560221093782	TRUE	FALSE	39.5560221093782
24973	39.5289802378106	TRUE	FALSE	39.5289802378106
24974	37.855506479117	TRUE	FALSE	37.855506479117
24975	30.2930445437512	TRUE	FALSE	30.2930445437512
24976	19.0475354726103	TRUE	FALSE	19.0475354726103
24977	19.0266564752828	TRUE	FALSE	19.0266564752828
24978	18.9586254436839	TRUE	FALSE	18.9586254436839
24979	17.1593242054118	TRUE	FALSE	17.1593242054118
24980	15.6692944387683	TRUE	FALSE	15.6692944387683
24981	12.5806997462441	TRUE	FALSE	12.5806997462441
24982	11.0059052855006	TRUE	FALSE	11.0059052855006
