label_id	type	type_color
9380.0	foregut_muscles	255-255-187-120
9382.0	axocord_muscles	255-214-39-40
9406.0	axocord_muscles	255-214-39-40
9407.0	foregut_muscles	255-255-187-120
9408.0	foregut_muscles	255-255-187-120
9409.0	foregut_muscles	255-255-187-120
9503.0	axocord_muscles	255-214-39-40
9505.0	foregut_neurons	255-23-190-207
9506.0	foregut_muscles	255-255-187-120
9540.0	foregut_neurons	255-23-190-207
9544.0	forgut_epithelium	255-188-189-34
9546.0	foregut_muscles	255-255-187-120
9547.0	foregut_muscles	255-255-187-120
9548.0	foregut_muscles	255-255-187-120
9558.0	foregut_muscles	255-255-187-120
9560.0	forgut_epithelium	255-188-189-34
9588.0	foregut_muscles	255-255-187-120
9592.0	foregut_neurons	255-23-190-207
9686.0	foregut_muscles	255-255-187-120
9687.0	foregut_muscles	255-255-187-120
9689.0	foregut_muscles	255-255-187-120
9701.0	foregut_muscles	255-255-187-120
9720.0	foregut_neurons	255-23-190-207
9721.0	forgut_epithelium	255-188-189-34
9722.0	forgut_epithelium	255-188-189-34
9739.0	foregut_neurons	255-23-190-207
9740.0	forgut_epithelium	255-188-189-34
9743.0	forgut_epithelium	255-188-189-34
9745.0	forgut_epithelium	255-188-189-34
9746.0	foregut_muscles	255-255-187-120
9747.0	foregut_muscles	255-255-187-120
9753.0	foregut_muscles	255-255-187-120
9755.0	forgut_epithelium	255-188-189-34
9756.0	forgut_epithelium	255-188-189-34
9760.0	forgut_epithelium	255-188-189-34
9764.0	foregut_muscles	255-255-187-120
9770.0	foregut_muscles	255-255-187-120
9771.0	forgut_epithelium	255-188-189-34
9774.0	foregut_muscles	255-255-187-120
9775.0	foregut_muscles	255-255-187-120
9798.0	foregut_muscles	255-255-187-120
9801.0	axocord_muscles	255-214-39-40
9899.0	foregut_muscles	255-255-187-120
9912.0	foregut_muscles	255-255-187-120
9928.0	foregut_muscles	255-255-187-120
9933.0	forgut_epithelium	255-188-189-34
9935.0	forgut_epithelium	255-188-189-34
9936.0	forgut_epithelium	255-188-189-34
9937.0	forgut_epithelium	255-188-189-34
9938.0	forgut_epithelium	255-188-189-34
9939.0	forgut_epithelium	255-188-189-34
9951.0	foregut_muscles	255-255-187-120
9952.0	forgut_epithelium	255-188-189-34
9963.0	forgut_epithelium	255-188-189-34
9967.0	forgut_epithelium	255-188-189-34
9969.0	foregut_muscles	255-255-187-120
9970.0	foregut_muscles	255-255-187-120
9973.0	axocord_muscles	255-214-39-40
9990.0	foregut_muscles	255-255-187-120
9992.0	foregut_muscles	255-255-187-120
9993.0	axocord_muscles	255-214-39-40
9994.0	foregut_muscles	255-255-187-120
10012.0	foregut_muscles	255-255-187-120
10014.0	foregut_muscles	255-255-187-120
10123.0	foregut_muscles	255-255-187-120
10128.0	foregut_muscles	255-255-187-120
10140.0	foregut_muscles	255-255-187-120
10154.0	foregut_muscles	255-255-187-120
10155.0	forgut_epithelium	255-188-189-34
10156.0	forgut_epithelium	255-188-189-34
10157.0	forgut_epithelium	255-188-189-34
10158.0	forgut_epithelium	255-188-189-34
10159.0	forgut_epithelium	255-188-189-34
10172.0	foregut_muscles	255-255-187-120
10173.0	forgut_epithelium	255-188-189-34
10175.0	forgut_epithelium	255-188-189-34
10179.0	forgut_epithelium	255-188-189-34
10180.0	forgut_epithelium	255-188-189-34
10182.0	forgut_epithelium	255-188-189-34
10195.0	foregut_muscles	255-255-187-120
10196.0	foregut_muscles	255-255-187-120
10197.0	foregut_muscles	255-255-187-120
10198.0	foregut_muscles	255-255-187-120
10200.0	forgut_epithelium	255-188-189-34
10201.0	forgut_epithelium	255-188-189-34
10203.0	forgut_epithelium	255-188-189-34
10229.0	forgut_epithelium	255-188-189-34
10231.0	forgut_epithelium	255-188-189-34
10233.0	forgut_epithelium	255-188-189-34
10386.0	foregut_muscles	255-255-187-120
10398.0	foregut_muscles	255-255-187-120
10400.0	forgut_epithelium	255-188-189-34
10401.0	forgut_epithelium	255-188-189-34
10402.0	forgut_epithelium	255-188-189-34
10405.0	forgut_epithelium	255-188-189-34
10407.0	forgut_epithelium	255-188-189-34
10408.0	forgut_epithelium	255-188-189-34
10409.0	forgut_epithelium	255-188-189-34
10411.0	foregut_muscles	255-255-187-120
10419.0	foregut_muscles	255-255-187-120
10422.0	forgut_epithelium	255-188-189-34
10427.0	forgut_epithelium	255-188-189-34
10439.0	foregut_muscles	255-255-187-120
10440.0	forgut_epithelium	255-188-189-34
10441.0	forgut_epithelium	255-188-189-34
10443.0	forgut_epithelium	255-188-189-34
10444.0	forgut_epithelium	255-188-189-34
10447.0	forgut_epithelium	255-188-189-34
10448.0	forgut_epithelium	255-188-189-34
10451.0	foregut_muscles	255-255-187-120
10471.0	forgut_epithelium	255-188-189-34
10472.0	foregut_muscles	255-255-187-120
10473.0	forgut_epithelium	255-188-189-34
10500.0	forgut_epithelium	255-188-189-34
10502.0	foregut_muscles	255-255-187-120
10526.0	foregut_muscles	255-255-187-120
10620.0	foregut_muscles	255-255-187-120
10631.0	foregut_muscles	255-255-187-120
10632.0	foregut_muscles	255-255-187-120
10650.0	forgut_epithelium	255-188-189-34
10651.0	forgut_epithelium	255-188-189-34
10652.0	foregut_muscles	255-255-187-120
10653.0	forgut_epithelium	255-188-189-34
10654.0	forgut_epithelium	255-188-189-34
10655.0	forgut_epithelium	255-188-189-34
10656.0	forgut_epithelium	255-188-189-34
10657.0	forgut_epithelium	255-188-189-34
10669.0	forgut_epithelium	255-188-189-34
10673.0	forgut_epithelium	255-188-189-34
10676.0	forgut_epithelium	255-188-189-34
10677.0	forgut_epithelium	255-188-189-34
10678.0	forgut_epithelium	255-188-189-34
10679.0	forgut_epithelium	255-188-189-34
10695.0	foregut_muscles	255-255-187-120
10697.0	foregut_muscles	255-255-187-120
10698.0	forgut_epithelium	255-188-189-34
10699.0	forgut_epithelium	255-188-189-34
10700.0	forgut_epithelium	255-188-189-34
10714.0	forgut_epithelium	255-188-189-34
10715.0	forgut_epithelium	255-188-189-34
10718.0	foregut_muscles	255-255-187-120
10736.0	forgut_epithelium	255-188-189-34
10738.0	foregut_muscles	255-255-187-120
10816.0	foregut_muscles	255-255-187-120
10817.0	foregut_muscles	255-255-187-120
10828.0	foregut_muscles	255-255-187-120
10829.0	foregut_muscles	255-255-187-120
10830.0	forgut_epithelium	255-188-189-34
10849.0	forgut_epithelium	255-188-189-34
10850.0	foregut_muscles	255-255-187-120
10851.0	axocord_muscles	255-214-39-40
10859.0	foregut_muscles	255-255-187-120
10865.0	forgut_epithelium	255-188-189-34
10876.0	forgut_epithelium	255-188-189-34
10877.0	forgut_epithelium	255-188-189-34
10878.0	forgut_epithelium	255-188-189-34
