label_id	morphocontext_clust_color	gene_clust_color	manually_segm_color
1200.0	255-219-219-141	255-158-218-229	255-219-219-141
1201.0	0-0-0-0	255-219-219-141	255-219-219-141
1202.0	255-219-219-141	255-158-218-229	255-219-219-141
1206.0	255-219-219-141	255-158-218-229	255-219-219-141
1207.0	255-152-223-138	255-158-218-229	255-152-223-138
1209.0	255-44-160-44	255-158-218-229	255-158-218-229
1211.0	255-44-160-44	255-140-86-75	255-188-189-34
1212.0	255-44-160-44	255-140-86-75	255-188-189-34
1215.0	255-44-160-44	255-158-218-229	255-188-189-34
1218.0	255-44-160-44	255-158-218-229	255-219-219-141
1219.0	255-219-219-141	255-158-218-229	255-219-219-141
1220.0	255-44-160-44	255-158-218-229	255-219-219-141
1221.0	255-152-223-138	255-158-218-229	255-158-218-229
1223.0	255-152-223-138	255-140-86-75	0-0-0-0
1224.0	255-152-223-138	255-158-218-229	0-0-0-0
1225.0	255-44-160-44	255-140-86-75	255-158-218-229
1227.0	0-0-0-0	255-158-218-229	0-0-0-0
1228.0	255-152-223-138	255-152-223-138	255-152-223-138
1229.0	255-152-223-138	255-152-223-138	255-152-223-138
1230.0	255-152-223-138	255-44-160-44	255-152-223-138
1235.0	255-44-160-44	255-44-160-44	255-44-160-44
1237.0	255-44-160-44	255-44-160-44	255-44-160-44
1239.0	255-44-160-44	255-44-160-44	255-44-160-44
1240.0	255-44-160-44	255-152-223-138	255-44-160-44
1241.0	255-44-160-44	255-44-160-44	255-44-160-44
1242.0	255-44-160-44	255-44-160-44	255-44-160-44
1244.0	255-44-160-44	255-44-160-44	255-44-160-44
1246.0	255-44-160-44	255-44-160-44	255-44-160-44
1255.0	255-44-160-44	255-158-218-229	255-44-160-44
1257.0	255-44-160-44	255-44-160-44	255-44-160-44
1258.0	255-44-160-44	255-140-86-75	255-44-160-44
1259.0	255-44-160-44	255-44-160-44	255-44-160-44
1260.0	255-152-223-138	255-140-86-75	255-158-218-229
1267.0	255-152-223-138	255-152-223-138	0-0-0-0
1270.0	255-44-160-44	255-44-160-44	255-44-160-44
1271.0	255-44-160-44	255-44-160-44	255-44-160-44
1272.0	255-44-160-44	255-44-160-44	255-44-160-44
1273.0	255-44-160-44	255-158-218-229	255-44-160-44
1275.0	255-44-160-44	255-140-86-75	255-158-218-229
1276.0	255-152-223-138	255-158-218-229	255-158-218-229
1277.0	255-44-160-44	255-140-86-75	255-188-189-34
1279.0	255-152-223-138	255-152-223-138	255-44-160-44
1281.0	255-152-223-138	255-152-223-138	255-44-160-44
1283.0	0-0-0-0	0-0-0-0	0-0-0-0
1287.0	255-148-103-189	255-44-160-44	255-219-219-141
1288.0	255-219-219-141	255-219-219-141	255-219-219-141
1289.0	255-219-219-141	255-219-219-141	255-219-219-141
1290.0	255-44-160-44	255-140-86-75	255-188-189-34
1291.0	255-44-160-44	255-140-86-75	255-188-189-34
1292.0	255-44-160-44	255-140-86-75	255-188-189-34
1293.0	255-44-160-44	255-140-86-75	255-188-189-34
1294.0	255-44-160-44	255-140-86-75	255-188-189-34
1296.0	255-44-160-44	255-140-86-75	255-188-189-34
1297.0	0-0-0-0	255-140-86-75	255-158-218-229
1299.0	255-152-223-138	255-152-223-138	255-44-160-44
1302.0	255-44-160-44	255-44-160-44	255-44-160-44
1304.0	255-44-160-44	255-44-160-44	255-44-160-44
1307.0	0-0-0-0	0-0-0-0	0-0-0-0
1308.0	0-0-0-0	255-44-160-44	255-219-219-141
1310.0	255-219-219-141	255-219-219-141	255-219-219-141
1311.0	255-219-219-141	255-219-219-141	255-219-219-141
1312.0	255-219-219-141	255-219-219-141	255-219-219-141
1313.0	255-219-219-141	255-219-219-141	255-219-219-141
1315.0	255-219-219-141	255-219-219-141	255-219-219-141
1316.0	255-219-219-141	255-219-219-141	255-188-189-34
1318.0	255-44-160-44	255-140-86-75	255-188-189-34
1319.0	255-44-160-44	255-219-219-141	255-188-189-34
1320.0	255-44-160-44	255-219-219-141	255-188-189-34
1321.0	255-44-160-44	255-140-86-75	255-188-189-34
1325.0	255-44-160-44	255-44-160-44	255-44-160-44
1326.0	255-44-160-44	255-44-160-44	255-44-160-44
1327.0	255-44-160-44	255-44-160-44	255-44-160-44
1328.0	255-44-160-44	255-44-160-44	255-44-160-44
1329.0	255-44-160-44	255-44-160-44	255-44-160-44
1330.0	255-44-160-44	255-44-160-44	255-44-160-44
1331.0	255-44-160-44	255-158-218-229	255-44-160-44
1332.0	255-44-160-44	255-44-160-44	255-44-160-44
1334.0	255-44-160-44	255-140-86-75	255-44-160-44
1336.0	255-219-219-141	255-219-219-141	255-219-219-141
1339.0	255-219-219-141	255-219-219-141	255-219-219-141
1340.0	255-219-219-141	255-219-219-141	255-219-219-141
1341.0	255-219-219-141	255-158-218-229	255-219-219-141
1342.0	255-219-219-141	255-158-218-229	255-219-219-141
1344.0	255-219-219-141	255-158-218-229	0-0-0-0
1345.0	0-0-0-0	255-158-218-229	255-219-219-141
1347.0	255-152-223-138	255-44-160-44	255-152-223-138
1349.0	255-44-160-44	255-44-160-44	255-44-160-44
1351.0	255-44-160-44	255-44-160-44	255-44-160-44
1352.0	255-44-160-44	255-158-218-229	255-158-218-229
1353.0	255-219-219-141	255-158-218-229	255-188-189-34
1354.0	255-219-219-141	255-219-219-141	255-219-219-141
1355.0	255-219-219-141	255-219-219-141	255-219-219-141
1356.0	255-219-219-141	255-219-219-141	255-219-219-141
1357.0	255-219-219-141	255-158-218-229	255-219-219-141
1358.0	255-219-219-141	255-158-218-229	0-0-0-0
1362.0	255-44-160-44	255-140-86-75	255-188-189-34
1363.0	255-44-160-44	255-140-86-75	255-188-189-34
1364.0	255-44-160-44	255-140-86-75	255-188-189-34
1365.0	255-44-160-44	255-140-86-75	255-188-189-34
1367.0	255-152-223-138	255-158-218-229	0-0-0-0
1368.0	255-152-223-138	255-158-218-229	0-0-0-0
1371.0	255-44-160-44	255-140-86-75	0-0-0-0
1372.0	255-152-223-138	255-158-218-229	255-158-218-229
1375.0	255-152-223-138	255-140-86-75	0-0-0-0
1376.0	255-44-160-44	255-44-160-44	255-152-223-138
1378.0	255-44-160-44	255-44-160-44	255-44-160-44
1381.0	255-44-160-44	255-44-160-44	255-44-160-44
1382.0	255-44-160-44	255-44-160-44	255-44-160-44
1383.0	255-44-160-44	255-44-160-44	255-44-160-44
1385.0	255-44-160-44	255-44-160-44	255-44-160-44
1386.0	255-44-160-44	255-44-160-44	255-44-160-44
1387.0	255-44-160-44	255-44-160-44	255-44-160-44
1388.0	255-44-160-44	255-44-160-44	255-44-160-44
1389.0	0-0-0-0	255-158-218-229	255-152-223-138
1390.0	255-152-223-138	255-158-218-229	255-44-160-44
1396.0	255-44-160-44	255-44-160-44	255-44-160-44
1397.0	255-44-160-44	255-44-160-44	255-44-160-44
1399.0	255-44-160-44	255-44-160-44	255-44-160-44
1401.0	255-44-160-44	255-140-86-75	255-158-218-229
1404.0	255-44-160-44	255-158-218-229	255-158-218-229
1406.0	255-152-223-138	255-140-86-75	255-158-218-229
1411.0	255-44-160-44	255-44-160-44	255-44-160-44
1413.0	255-44-160-44	255-44-160-44	255-44-160-44
1415.0	255-44-160-44	255-140-86-75	255-188-189-34
1416.0	255-152-223-138	255-152-223-138	255-127-127-127
1418.0	0-0-0-0	0-0-0-0	0-0-0-0
1421.0	255-158-218-229	255-219-219-141	255-219-219-141
1422.0	255-219-219-141	255-219-219-141	255-219-219-141
1423.0	255-219-219-141	255-219-219-141	255-219-219-141
1424.0	255-44-160-44	255-140-86-75	255-188-189-34
1425.0	255-44-160-44	255-140-86-75	255-188-189-34
1426.0	255-44-160-44	255-140-86-75	255-188-189-34
1427.0	255-44-160-44	255-140-86-75	255-188-189-34
1428.0	255-44-160-44	255-140-86-75	255-188-189-34
1430.0	255-44-160-44	255-140-86-75	255-188-189-34
1435.0	255-44-160-44	255-44-160-44	255-44-160-44
1436.0	255-44-160-44	255-44-160-44	255-44-160-44
1438.0	255-44-160-44	255-44-160-44	255-44-160-44
1439.0	255-44-160-44	255-44-160-44	255-158-218-229
1440.0	255-44-160-44	255-44-160-44	255-44-160-44
1442.0	255-219-219-141	255-219-219-141	255-219-219-141
1443.0	255-219-219-141	255-219-219-141	255-219-219-141
1444.0	255-219-219-141	255-219-219-141	255-219-219-141
1445.0	255-44-160-44	255-219-219-141	255-188-189-34
1448.0	255-44-160-44	255-140-86-75	255-188-189-34
1453.0	255-44-160-44	255-44-160-44	255-44-160-44
1454.0	255-44-160-44	255-44-160-44	255-44-160-44
1455.0	255-44-160-44	255-44-160-44	255-44-160-44
1456.0	255-44-160-44	255-44-160-44	255-44-160-44
1457.0	255-44-160-44	255-44-160-44	255-44-160-44
1458.0	255-44-160-44	255-44-160-44	255-44-160-44
1459.0	255-44-160-44	255-219-219-141	255-44-160-44
1460.0	255-219-219-141	255-219-219-141	255-219-219-141
1461.0	255-219-219-141	255-219-219-141	255-219-219-141
1462.0	255-219-219-141	255-219-219-141	255-219-219-141
1464.0	255-219-219-141	255-219-219-141	255-219-219-141
1465.0	255-219-219-141	255-219-219-141	255-219-219-141
1466.0	255-44-160-44	255-219-219-141	255-219-219-141
1468.0	255-152-223-138	255-44-160-44	255-152-223-138
1469.0	0-0-0-0	255-44-160-44	0-0-0-0
1471.0	255-152-223-138	255-44-160-44	255-152-223-138
1472.0	255-152-223-138	255-44-160-44	255-152-223-138
1474.0	255-44-160-44	255-44-160-44	255-44-160-44
1476.0	255-44-160-44	255-158-218-229	255-158-218-229
1479.0	255-44-160-44	255-140-86-75	255-158-218-229
1480.0	255-219-219-141	255-219-219-141	255-188-189-34
1481.0	255-219-219-141	255-219-219-141	255-188-189-34
1483.0	255-219-219-141	255-219-219-141	255-219-219-141
1484.0	255-219-219-141	255-219-219-141	255-219-219-141
1485.0	0-0-0-0	255-219-219-141	255-219-219-141
1486.0	255-219-219-141	255-219-219-141	255-219-219-141
1487.0	255-219-219-141	255-158-218-229	0-0-0-0
1489.0	255-152-223-138	255-158-218-229	255-152-223-138
1491.0	255-152-223-138	255-158-218-229	255-152-223-138
1492.0	0-0-0-0	255-44-160-44	255-152-223-138
1493.0	255-152-223-138	255-158-218-229	255-158-218-229
1494.0	255-152-223-138	255-140-86-75	255-158-218-229
1495.0	255-152-223-138	255-158-218-229	255-158-218-229
1496.0	255-44-160-44	255-140-86-75	255-158-218-229
1498.0	255-44-160-44	255-140-86-75	255-188-189-34
1499.0	255-44-160-44	255-140-86-75	255-188-189-34
1500.0	255-44-160-44	255-140-86-75	255-188-189-34
1501.0	255-44-160-44	255-140-86-75	255-188-189-34
1502.0	255-44-160-44	255-219-219-141	255-188-189-34
1503.0	255-44-160-44	255-140-86-75	255-188-189-34
1504.0	255-44-160-44	255-140-86-75	255-188-189-34
1505.0	255-44-160-44	255-219-219-141	255-188-189-34
1506.0	255-44-160-44	255-219-219-141	255-219-219-141
1507.0	255-219-219-141	255-158-218-229	255-219-219-141
1508.0	0-0-0-0	255-158-218-229	0-0-0-0
1509.0	255-219-219-141	255-219-219-141	255-219-219-141
1513.0	255-44-160-44	255-44-160-44	255-44-160-44
1514.0	255-152-223-138	255-152-223-138	255-152-223-138
1515.0	255-152-223-138	255-44-160-44	255-152-223-138
1516.0	0-0-0-0	255-44-160-44	0-0-0-0
1519.0	255-44-160-44	255-44-160-44	255-44-160-44
1523.0	255-44-160-44	255-44-160-44	255-44-160-44
1525.0	255-44-160-44	255-44-160-44	255-44-160-44
1526.0	255-44-160-44	255-44-160-44	255-44-160-44
1527.0	255-44-160-44	255-44-160-44	255-44-160-44
1528.0	255-44-160-44	255-44-160-44	255-44-160-44
1530.0	255-152-223-138	255-152-223-138	255-152-223-138
1534.0	255-152-223-138	255-44-160-44	255-44-160-44
1536.0	255-44-160-44	255-44-160-44	255-44-160-44
1537.0	255-44-160-44	255-44-160-44	255-44-160-44
1538.0	255-44-160-44	255-44-160-44	255-44-160-44
1540.0	255-44-160-44	255-44-160-44	255-44-160-44
1541.0	255-44-160-44	255-44-160-44	255-44-160-44
1543.0	255-152-223-138	255-140-86-75	255-158-218-229
1544.0	255-152-223-138	255-158-218-229	255-158-218-229
1547.0	255-44-160-44	255-44-160-44	255-44-160-44
1548.0	255-44-160-44	255-44-160-44	255-44-160-44
1549.0	255-44-160-44	255-158-218-229	255-44-160-44
1550.0	255-44-160-44	255-158-218-229	255-158-218-229
1551.0	255-44-160-44	255-158-218-229	255-158-218-229
1552.0	255-44-160-44	255-158-218-229	255-158-218-229
1555.0	255-152-223-138	255-152-223-138	255-152-223-138
1558.0	255-152-223-138	255-152-223-138	255-152-223-138
1560.0	255-44-160-44	255-44-160-44	0-0-0-0
1564.0	255-44-160-44	255-140-86-75	255-188-189-34
1565.0	255-44-160-44	255-140-86-75	255-188-189-34
1566.0	255-44-160-44	255-140-86-75	0-0-0-0
1567.0	255-44-160-44	255-140-86-75	0-0-0-0
1568.0	255-152-223-138	255-152-223-138	255-152-223-138
1569.0	255-152-223-138	255-152-223-138	255-152-223-138
1573.0	255-44-160-44	255-44-160-44	255-44-160-44
1574.0	255-44-160-44	255-44-160-44	255-44-160-44
1575.0	255-44-160-44	255-44-160-44	255-44-160-44
1576.0	255-44-160-44	255-44-160-44	255-44-160-44
1577.0	255-44-160-44	255-44-160-44	255-44-160-44
1578.0	255-44-160-44	255-44-160-44	255-44-160-44
1579.0	255-44-160-44	255-44-160-44	255-44-160-44
1580.0	255-44-160-44	255-44-160-44	255-44-160-44
1581.0	255-44-160-44	255-44-160-44	255-44-160-44
1582.0	255-219-219-141	255-219-219-141	255-219-219-141
1583.0	255-219-219-141	255-219-219-141	255-219-219-141
1590.0	255-219-219-141	255-219-219-141	255-219-219-141
1591.0	255-219-219-141	255-219-219-141	255-219-219-141
1593.0	255-219-219-141	255-219-219-141	255-219-219-141
1594.0	255-219-219-141	255-219-219-141	255-219-219-141
1595.0	255-219-219-141	255-219-219-141	255-219-219-141
1596.0	255-219-219-141	255-219-219-141	255-219-219-141
1597.0	255-219-219-141	255-219-219-141	255-219-219-141
1598.0	255-219-219-141	255-219-219-141	255-219-219-141
1600.0	255-44-160-44	255-219-219-141	255-188-189-34
1601.0	255-44-160-44	255-158-218-229	255-188-189-34
1602.0	255-44-160-44	255-158-218-229	0-0-0-0
1605.0	255-44-160-44	255-44-160-44	255-44-160-44
1610.0	255-44-160-44	255-44-160-44	255-44-160-44
1611.0	255-44-160-44	255-158-218-229	255-44-160-44
1612.0	255-44-160-44	255-44-160-44	255-44-160-44
1613.0	255-219-219-141	255-219-219-141	255-219-219-141
1614.0	255-219-219-141	255-219-219-141	255-219-219-141
1615.0	255-219-219-141	255-158-218-229	255-219-219-141
1616.0	255-219-219-141	255-219-219-141	255-219-219-141
1617.0	255-44-160-44	255-219-219-141	255-219-219-141
1618.0	255-152-223-138	255-44-160-44	255-152-223-138
1620.0	255-152-223-138	255-44-160-44	255-152-223-138
1622.0	255-152-223-138	255-158-218-229	255-152-223-138
1623.0	255-44-160-44	255-44-160-44	255-44-160-44
1624.0	255-44-160-44	255-44-160-44	255-44-160-44
1626.0	255-44-160-44	255-158-218-229	255-158-218-229
1628.0	255-219-219-141	255-158-218-229	255-158-218-229
1629.0	255-219-219-141	255-219-219-141	255-219-219-141
1630.0	255-219-219-141	255-219-219-141	255-219-219-141
1631.0	0-0-0-0	255-219-219-141	255-219-219-141
1632.0	255-219-219-141	255-219-219-141	255-219-219-141
1633.0	255-219-219-141	255-219-219-141	255-219-219-141
1634.0	255-219-219-141	255-158-218-229	255-219-219-141
1636.0	255-152-223-138	255-158-218-229	255-152-223-138
1637.0	255-152-223-138	255-158-218-229	255-152-223-138
1640.0	255-152-223-138	255-158-218-229	255-158-218-229
1641.0	255-44-160-44	255-158-218-229	255-158-218-229
1643.0	255-44-160-44	255-158-218-229	255-158-218-229
1644.0	255-44-160-44	255-219-219-141	255-188-189-34
1645.0	255-44-160-44	255-219-219-141	255-188-189-34
1646.0	255-44-160-44	255-140-86-75	255-188-189-34
1648.0	255-44-160-44	255-219-219-141	255-188-189-34
1649.0	255-219-219-141	255-219-219-141	255-219-219-141
1650.0	255-44-160-44	255-219-219-141	255-219-219-141
1651.0	255-44-160-44	255-158-218-229	255-219-219-141
1652.0	255-219-219-141	255-158-218-229	255-219-219-141
1653.0	255-152-223-138	255-158-218-229	0-0-0-0
1659.0	255-152-223-138	255-158-218-229	0-0-0-0
1660.0	255-152-223-138	255-158-218-229	0-0-0-0
1662.0	255-219-219-141	255-219-219-141	255-219-219-141
1663.0	0-0-0-0	255-158-218-229	255-219-219-141
1664.0	255-152-223-138	255-152-223-138	255-152-223-138
1668.0	255-152-223-138	255-158-218-229	255-152-223-138
1675.0	255-44-160-44	255-44-160-44	255-44-160-44
1684.0	255-44-160-44	255-44-160-44	255-44-160-44
1685.0	255-44-160-44	255-44-160-44	255-44-160-44
1686.0	255-152-223-138	255-158-218-229	255-158-218-229
1688.0	255-152-223-138	255-152-223-138	255-44-160-44
1689.0	255-152-223-138	255-152-223-138	255-152-223-138
1690.0	255-44-160-44	255-44-160-44	255-44-160-44
1691.0	255-44-160-44	255-44-160-44	255-44-160-44
1692.0	255-44-160-44	255-44-160-44	255-44-160-44
1693.0	255-44-160-44	255-44-160-44	255-44-160-44
1694.0	255-44-160-44	255-44-160-44	255-44-160-44
1696.0	255-152-223-138	255-158-218-229	255-158-218-229
